date,close,volume,open,high,low
3/28/16,203.24,61741680,203.61,203.86,202.705
3/29/16,205.1208,92553650,202.76,205.25,202.4
3/30/16,206.02,85684320,206.3,206.87,205.59
3/31/16,205.52,94146900,205.91,206.41,205.33
4/1/16,206.92,113272000,204.35,207.14,203.98
4/4/16,206.25,62656120,206.83,207.07,205.89
4/5/16,204.1892,98648990,204.67,206.2642,203.89
4/6/16,206.42,91660050,204.29,206.49,203.98
4/7/16,203.95,112324600,205.14,205.56,203.09
4/8/16,204.4992,94933720,205.34,205.85,203.87
4/11/16,204.0201,82561530,205.25,206.07,203.91
4/12/16,205.92,114890500,204.22,206.25,203.7
4/13/16,208.0008,95684760,207,208.1,206.84
4/14/16,208.01,65046200,208.07,208.6,207.6
4/15/16,207.78,75684740,208.01,208.1721,207.4
4/18/16,209.2392,82211220,207.14,209.28,207
4/19/16,209.9,87275610,209.74,210.2,208.94
4/20/16,210.1,81035560,209.95,210.92,209.39
4/21/16,208.97,85132680,210.12,210.25,208.65
4/22/16,208.97,99214080,208.55,209.29,207.91
4/25/16,208.61,65967270,208.26,208.66,207.54
4/26/16,208.9192,75483500,209.04,209.52,208.36
